"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Giỏ hàng","0","0","UC-010: Thêm sản phẩm vào giỏ","0"
"0","","0","Đăng nhập hệ thống","1","0","UC-001: Đăng nhập bằng tài khoản hợp lệ","0"
