"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Kiểm thử thêm 1 sản phẩm vào giỏ hàng thành công","1576","testAddItemToCart","Smoke Test Suite","2026-06-23","passed","2026-06-23","tests.CartTest","Login and Cart Smoke Tests","tests.CartTest","testAddItemToCart"
"Kiểm thử đăng nhập với username/password hợp lệ","1557","testLoginSuccess","Smoke Test Suite","2026-06-23","passed","2026-06-23","tests.LoginTest","Login and Cart Smoke Tests","tests.LoginTest","testLoginSuccess"
